Transaction_ID,Vendor_Name,Award_Amount,Award_Agency,Award_Date,Award_Type,Performance_Country,Performance_State
TRX06626,Wolfe Ltd,4041446.4,Department of Transportation,2021-02-03,Indefinite Delivery Contract,CAN,VA
TRX06627,Ward-Welch,4147584.08,Department of Education,2023-01-13,Indefinite Delivery Contract,CAN,PA
TRX06628,Nichols PLC,3048997.44,Department of Defense,2022-10-03,Indefinite Delivery Contract,USA,NC
TRX06629,"Walker, Lewis and Moore",2246921.75,Department of Transportation,2021-09-14,Indefinite Delivery Contract,MEX,GA
TRX06630,Williams-Buck,1854145.13,NASA,2024-03-31,Time-and-Materials Contract,CAN,MI
TRX06631,"Ramos, Grimes and Alvarez",3881420.11,Department of Agriculture,2022-09-12,Time-and-Materials Contract,CAN,VA
TRX06632,Zuniga Inc,899795.27,Department of Energy,2022-02-10,Cost-Reimbursement Contract,CAN,VA
TRX06633,Mills-King,3131740.47,Department of Defense,2023-10-10,Indefinite Delivery Contract,USA,MI
TRX06634,"Ramsey, Cox and Brooks",1170010.81,NASA,2021-05-30,Fixed-Price Contract,CAN,GA
TRX06635,Dickerson Ltd,1735789.87,Department of Defense,2023-10-06,Cost-Reimbursement Contract,MEX,OH
TRX06636,Gonzalez and Sons,3833801.09,Department of Transportation,2022-11-23,Time-and-Materials Contract,CAN,NC
TRX06637,Sanders and Sons,1759230.34,Department of Health and Human Services,2023-11-07,Indefinite Delivery Contract,MEX,FL
TRX06638,Robinson-Farley,3074966.6,Department of Energy,2023-05-21,Indefinite Delivery Contract,MEX,MI
TRX06639,"Dennis, Clark and Smith",2432341.17,Department of Health and Human Services,2021-05-30,Indefinite Delivery Contract,MEX,MI
TRX06640,"Johnson, Thompson and Johnson",3049169.08,Department of Agriculture,2021-09-26,Fixed-Price Contract,CAN,VA
TRX06641,Adams-Cobb,93925.94,Department of Energy,2022-03-22,Fixed-Price Contract,MEX,CA
TRX06642,Jackson PLC,730888.72,Department of Education,2023-06-05,Time-and-Materials Contract,USA,FL
TRX06643,Wright Group,779515.83,Department of Agriculture,2023-02-22,Indefinite Delivery Contract,USA,PA
TRX06644,Lara-Pollard,2152304.49,Department of Education,2022-10-01,Fixed-Price Contract,CAN,CA
TRX06645,Anderson-Summers,4520893.48,Department of Defense,2021-06-05,Cost-Reimbursement Contract,CAN,FL
TRX06646,Matthews LLC,616099.69,Department of Energy,2021-01-19,Indefinite Delivery Contract,CAN,OH
TRX06647,Holmes-Lambert,2534493.3,Department of Education,2021-09-16,Fixed-Price Contract,MEX,GA
TRX06648,Hernandez-Nelson,3463553.85,Department of Education,2021-02-21,Time-and-Materials Contract,USA,PA
TRX06649,Wyatt-Martin,1495239.82,Department of Education,2021-09-24,Time-and-Materials Contract,MEX,TX
TRX06650,Boyle-Richardson,4104549.04,Department of Energy,2023-04-30,Time-and-Materials Contract,MEX,NC
TRX06651,"Fitzgerald, Cantu and Martin",846717.34,Department of Education,2022-06-03,Fixed-Price Contract,CAN,FL
TRX06652,Robinson Ltd,3905603.67,Department of Transportation,2022-09-23,Fixed-Price Contract,USA,FL
TRX06653,Fisher Group,1463000.97,Department of Energy,2021-07-18,Cost-Reimbursement Contract,CAN,GA
TRX06654,Liu LLC,2264458.54,Department of Defense,2022-06-19,Time-and-Materials Contract,MEX,FL
TRX06655,Tucker PLC,1521036.47,Department of Health and Human Services,2021-01-06,Indefinite Delivery Contract,CAN,CA
TRX06656,Graham Group,4421389.26,NASA,2022-01-28,Fixed-Price Contract,CAN,FL
TRX06657,Farley-Garcia,4177899.8,Department of Education,2021-02-19,Fixed-Price Contract,MEX,GA
TRX06658,Calhoun LLC,2162886.45,Department of Energy,2023-03-03,Time-and-Materials Contract,CAN,TX
TRX06659,Young Inc,3437428.62,NASA,2023-01-24,Fixed-Price Contract,CAN,PA
TRX06660,Weaver-Miller,2500631.56,Department of Agriculture,2023-03-24,Cost-Reimbursement Contract,CAN,NY
TRX06661,Taylor Ltd,2855633.45,Department of Education,2022-08-01,Fixed-Price Contract,MEX,PA
TRX06662,"Ward, Bernard and Weiss",763694.45,Department of Health and Human Services,2022-12-27,Cost-Reimbursement Contract,CAN,NY
TRX06663,"Gould, Roy and Phillips",3504398.82,Department of Education,2022-12-12,Indefinite Delivery Contract,CAN,VA
TRX06664,Macdonald Ltd,136721.65,Department of Transportation,2024-01-12,Cost-Reimbursement Contract,CAN,GA
TRX06665,David LLC,2139734.98,NASA,2022-12-22,Fixed-Price Contract,MEX,PA
TRX06666,Smith Group,2739886.46,Department of Agriculture,2023-03-13,Time-and-Materials Contract,CAN,NC
TRX06667,Ashley LLC,579010.29,Department of Transportation,2023-09-22,Indefinite Delivery Contract,MEX,MI
TRX06668,Sherman Group,4007996.54,Department of Transportation,2023-04-20,Cost-Reimbursement Contract,USA,NY
TRX06669,Cuevas and Sons,3548755.53,Department of Energy,2022-08-04,Indefinite Delivery Contract,USA,VA
TRX06670,Le-Murphy,695542.9,Department of Energy,2021-02-09,Indefinite Delivery Contract,MEX,MI
TRX06671,Vargas Ltd,2214223.21,Department of Agriculture,2021-06-17,Time-and-Materials Contract,USA,TX
TRX06672,"Holt, Lowery and Lewis",14441.08,Department of Health and Human Services,2022-03-01,Fixed-Price Contract,CAN,PA
TRX06673,"Parker, Page and Frey",1778295.97,Department of Agriculture,2021-08-09,Indefinite Delivery Contract,MEX,PA
TRX06674,Hall-Hanson,1936186.3,Department of Education,2023-04-14,Indefinite Delivery Contract,CAN,PA
TRX06675,Lee-Carpenter,2491219.02,Department of Defense,2022-01-24,Time-and-Materials Contract,MEX,VA
TRX06676,Smith-Caldwell,4000335.49,Department of Energy,2021-12-06,Cost-Reimbursement Contract,CAN,NY
TRX06677,Wright-Norton,1107641.0,Department of Agriculture,2023-04-14,Indefinite Delivery Contract,CAN,NY
TRX06678,Gonzalez and Sons,1513311.38,Department of Health and Human Services,2021-08-10,Fixed-Price Contract,MEX,MI
TRX06679,Griffin-Chapman,2794361.77,Department of Defense,2022-10-21,Time-and-Materials Contract,USA,GA
TRX06680,"Martin, Walters and Gonzales",4358484.94,Department of Health and Human Services,2022-09-05,Cost-Reimbursement Contract,USA,PA
TRX06681,"Peterson, Jenkins and Skinner",279966.42,Department of Education,2022-01-17,Fixed-Price Contract,USA,VA
TRX06682,Walker-Woods,2391388.63,Department of Transportation,2022-04-23,Cost-Reimbursement Contract,USA,PA
TRX06683,Erickson-Brooks,1301491.78,Department of Agriculture,2022-02-14,Fixed-Price Contract,USA,NY
TRX06684,Torres Ltd,78009.69,NASA,2022-09-12,Time-and-Materials Contract,CAN,PA
TRX06685,Carson PLC,691168.81,Department of Energy,2024-02-23,Time-and-Materials Contract,USA,OH
TRX06686,Graves-Brown,507146.78,Department of Education,2021-08-25,Indefinite Delivery Contract,CAN,FL
TRX06687,"Garcia, Michael and Jackson",1655981.35,Department of Agriculture,2021-09-29,Fixed-Price Contract,CAN,CA
TRX06688,Alvarez Group,2783285.58,Department of Health and Human Services,2023-01-13,Fixed-Price Contract,USA,GA
TRX06689,Moon LLC,2853825.83,Department of Defense,2022-10-06,Indefinite Delivery Contract,MEX,OH
TRX06690,Morrison Group,4718229.21,Department of Agriculture,2023-07-24,Indefinite Delivery Contract,USA,NC
TRX06691,Macias-Gray,3918236.74,Department of Agriculture,2023-05-07,Fixed-Price Contract,MEX,FL
TRX06692,"Fernandez, King and Thomas",2166614.84,Department of Energy,2023-08-03,Fixed-Price Contract,USA,OH
TRX06693,Smith-Sanchez,2233167.17,Department of Health and Human Services,2021-08-09,Cost-Reimbursement Contract,MEX,MI
TRX06694,Norris Group,3725201.46,Department of Energy,2021-06-23,Cost-Reimbursement Contract,CAN,PA
TRX06695,Gray-Rodriguez,2672329.08,Department of Transportation,2021-08-16,Indefinite Delivery Contract,CAN,FL
TRX06696,"Scott, Blankenship and Walton",4889354.47,Department of Health and Human Services,2023-06-26,Cost-Reimbursement Contract,USA,GA
TRX06697,Miles and Sons,338744.27,NASA,2022-11-19,Time-and-Materials Contract,MEX,CA
TRX06698,"Jackson, Gomez and Roth",853767.3,Department of Defense,2023-12-18,Cost-Reimbursement Contract,MEX,VA
TRX06699,"Adams, Calderon and Brown",624176.57,Department of Education,2021-05-26,Cost-Reimbursement Contract,USA,TX
TRX06700,Smith-West,4840433.37,Department of Energy,2023-03-20,Fixed-Price Contract,USA,GA
TRX06701,"Watson, Williams and Flores",2753429.65,Department of Defense,2023-01-03,Fixed-Price Contract,MEX,CA
TRX06702,"Knight, Barton and Shields",2883488.56,Department of Defense,2022-12-28,Cost-Reimbursement Contract,USA,NC
TRX06703,Mooney-Brady,1864608.58,Department of Agriculture,2023-08-13,Cost-Reimbursement Contract,MEX,TX
TRX06704,"Ramirez, Gonzalez and Orozco",240129.11,Department of Agriculture,2021-08-18,Indefinite Delivery Contract,MEX,CA
TRX06705,Smith and Sons,1975410.25,Department of Transportation,2021-09-11,Fixed-Price Contract,CAN,MI
TRX06706,"Chung, Bond and Macias",2494491.86,Department of Defense,2023-06-24,Indefinite Delivery Contract,USA,VA
TRX06707,Freeman LLC,280671.77,Department of Energy,2023-07-24,Cost-Reimbursement Contract,MEX,NY
TRX06708,"Perez, Williams and Rush",3775069.23,Department of Defense,2021-04-02,Cost-Reimbursement Contract,MEX,GA
TRX06709,Travis Ltd,1417198.59,Department of Defense,2023-01-17,Time-and-Materials Contract,CAN,MI
TRX06710,Young Group,2007249.91,NASA,2024-03-16,Cost-Reimbursement Contract,CAN,NY
TRX06711,Allen LLC,1758765.64,NASA,2021-05-08,Time-and-Materials Contract,CAN,TX
TRX06712,"Winters, Ramos and Keith",1825919.91,Department of Transportation,2023-09-26,Fixed-Price Contract,CAN,GA
TRX06713,Fields Group,2438052.77,NASA,2021-04-06,Time-and-Materials Contract,USA,NC
TRX06714,Potter LLC,655307.2,NASA,2023-03-30,Indefinite Delivery Contract,USA,GA
TRX06715,Ayala PLC,1042537.24,Department of Health and Human Services,2021-12-16,Cost-Reimbursement Contract,CAN,OH
TRX06716,Montoya-Ramirez,2175459.44,NASA,2023-02-24,Fixed-Price Contract,MEX,TX
TRX06717,Larson-Woods,980492.68,Department of Agriculture,2024-03-26,Fixed-Price Contract,CAN,PA
TRX06718,Saunders and Sons,3788099.89,NASA,2022-02-09,Indefinite Delivery Contract,USA,PA
TRX06719,Wagner and Sons,3782619.9,Department of Health and Human Services,2022-05-19,Fixed-Price Contract,USA,NC
TRX06720,Cruz-Wright,2661033.63,Department of Energy,2021-08-27,Time-and-Materials Contract,CAN,MI
TRX06721,"Poole, Moore and Meadows",3462646.32,Department of Defense,2022-11-22,Cost-Reimbursement Contract,USA,VA
TRX06722,Montes and Sons,704008.57,Department of Health and Human Services,2023-12-28,Fixed-Price Contract,CAN,VA
TRX06723,"Cannon, Estes and Aguirre",3659259.67,Department of Defense,2022-02-01,Fixed-Price Contract,USA,FL
TRX06724,Ramsey Inc,2522027.26,Department of Defense,2021-10-23,Time-and-Materials Contract,MEX,CA
TRX06725,Moss-Barber,3892641.54,Department of Health and Human Services,2022-11-24,Time-and-Materials Contract,MEX,TX
TRX06726,"Evans, Butler and Walton",2312437.49,NASA,2023-07-15,Time-and-Materials Contract,USA,NY
TRX06727,Mitchell Group,2920326.33,Department of Health and Human Services,2021-02-13,Fixed-Price Contract,CAN,TX
TRX06728,Stewart Ltd,2315477.49,Department of Health and Human Services,2023-03-19,Cost-Reimbursement Contract,MEX,PA
TRX06729,Park-Burgess,212633.31,Department of Education,2022-04-21,Cost-Reimbursement Contract,CAN,NC
TRX06730,Rhodes-Walter,1297117.64,Department of Energy,2021-11-24,Fixed-Price Contract,MEX,GA
TRX06731,"Garcia, Brewer and Warren",3163319.3,Department of Agriculture,2022-07-10,Cost-Reimbursement Contract,MEX,PA
TRX06732,"White, Frey and Vasquez",786591.1,Department of Education,2021-03-29,Time-and-Materials Contract,MEX,NC
TRX06733,Hampton-Hardin,86196.91,Department of Transportation,2024-03-26,Time-and-Materials Contract,CAN,FL
TRX06734,Reed-Hopkins,890630.01,Department of Energy,2022-06-29,Indefinite Delivery Contract,MEX,VA
TRX06735,Smith-Nelson,1208620.66,Department of Education,2023-04-29,Indefinite Delivery Contract,MEX,MI
TRX06736,"West, Delgado and Jones",3377373.62,Department of Defense,2022-01-08,Cost-Reimbursement Contract,CAN,PA
TRX06737,Little-Wright,3038144.85,NASA,2021-06-18,Cost-Reimbursement Contract,USA,NC
TRX06738,Rios-Stevens,894685.49,Department of Education,2021-06-19,Indefinite Delivery Contract,USA,FL
TRX06739,Hatfield PLC,3505644.81,NASA,2022-06-03,Time-and-Materials Contract,CAN,OH
TRX06740,Jones and Sons,4479692.39,NASA,2021-03-22,Cost-Reimbursement Contract,CAN,VA
TRX06741,Simpson Ltd,3544046.24,Department of Health and Human Services,2021-12-13,Time-and-Materials Contract,MEX,TX
TRX06742,"Cochran, Schmidt and Black",2243767.53,Department of Health and Human Services,2022-12-22,Cost-Reimbursement Contract,CAN,NY
TRX06743,Thompson PLC,2098071.16,Department of Health and Human Services,2021-09-27,Time-and-Materials Contract,USA,VA
TRX06744,Horton-Webster,3452867.56,NASA,2022-06-15,Fixed-Price Contract,CAN,VA
TRX06745,Becker and Sons,4060398.45,Department of Energy,2023-02-21,Fixed-Price Contract,USA,CA
TRX06746,Alvarado LLC,427773.27,NASA,2021-09-24,Indefinite Delivery Contract,MEX,MI
TRX06747,Nelson Group,2041978.36,Department of Energy,2022-03-20,Time-and-Materials Contract,MEX,GA
TRX06748,Smith LLC,3867889.99,NASA,2021-09-03,Time-and-Materials Contract,CAN,CA
TRX06749,"Spencer, Miller and Diaz",2229884.2,Department of Defense,2023-10-15,Indefinite Delivery Contract,CAN,GA
TRX06750,Blair-Gibson,2835291.96,Department of Energy,2021-06-18,Time-and-Materials Contract,MEX,OH
TRX06751,Carroll-Thompson,2844927.55,Department of Transportation,2024-02-06,Fixed-Price Contract,MEX,NY
TRX06752,"Smith, Best and Wilson",2195618.94,Department of Defense,2024-01-04,Fixed-Price Contract,USA,OH
TRX06753,"Ford, Mendoza and Mahoney",2640660.44,Department of Energy,2023-04-05,Time-and-Materials Contract,USA,PA
TRX06754,Phillips-Smith,849888.41,NASA,2022-10-01,Indefinite Delivery Contract,MEX,VA
TRX06755,"Mcdaniel, Moyer and Roy",447159.37,Department of Agriculture,2022-08-13,Fixed-Price Contract,MEX,NC
TRX06756,Frazier-Mason,378198.03,NASA,2022-12-24,Fixed-Price Contract,MEX,TX
TRX06757,"Chambers, Carter and Richardson",2026610.44,Department of Agriculture,2023-11-30,Fixed-Price Contract,CAN,VA
TRX06758,Conway Ltd,4595136.21,Department of Energy,2024-01-03,Cost-Reimbursement Contract,USA,OH
TRX06759,"Pearson, Frey and Henderson",1523826.35,NASA,2023-12-21,Time-and-Materials Contract,MEX,MI
TRX06760,Suarez-Little,713894.85,Department of Energy,2021-07-07,Cost-Reimbursement Contract,USA,OH
TRX06761,White-Carter,3169516.79,Department of Transportation,2023-03-10,Indefinite Delivery Contract,USA,PA
TRX06762,Ramirez Inc,4678772.78,Department of Defense,2022-11-03,Time-and-Materials Contract,USA,GA
TRX06763,Davies-Pierce,3121978.0,Department of Energy,2022-04-04,Cost-Reimbursement Contract,MEX,CA
TRX06764,Duncan and Sons,3580716.5,Department of Energy,2023-08-26,Fixed-Price Contract,USA,NY
TRX06765,White-Schwartz,1591888.48,Department of Agriculture,2024-02-16,Time-and-Materials Contract,MEX,MI
TRX06766,"Goodwin, Woodward and Herrera",4492147.19,Department of Education,2021-11-02,Cost-Reimbursement Contract,MEX,TX
TRX06767,"Wright, Thompson and Gray",1257545.27,NASA,2023-11-25,Cost-Reimbursement Contract,MEX,FL
TRX06768,Gonzales LLC,3762353.97,NASA,2021-02-04,Cost-Reimbursement Contract,USA,TX
TRX06769,Finley Inc,2515927.01,Department of Health and Human Services,2023-06-27,Fixed-Price Contract,MEX,NC
TRX06770,Miller Ltd,1566414.21,Department of Health and Human Services,2024-03-27,Time-and-Materials Contract,CAN,TX
TRX06771,"Davis, Reynolds and Weiss",3484659.76,Department of Health and Human Services,2022-09-11,Fixed-Price Contract,CAN,CA
TRX06772,"Cunningham, Miller and Shaw",3036110.56,NASA,2022-08-23,Indefinite Delivery Contract,USA,VA
TRX06773,"Richards, Schmidt and Brock",2713071.76,NASA,2022-12-29,Time-and-Materials Contract,CAN,OH
TRX06774,"Davenport, Guerra and Carlson",2961336.33,NASA,2023-11-30,Cost-Reimbursement Contract,MEX,MI
TRX06775,Gonzalez-Johns,647613.1,Department of Transportation,2023-03-07,Indefinite Delivery Contract,USA,FL
TRX06776,Anderson-Blake,1647042.61,NASA,2023-10-25,Time-and-Materials Contract,MEX,CA
TRX06777,Hanson Ltd,4564793.68,Department of Energy,2021-03-13,Indefinite Delivery Contract,USA,FL
TRX06778,"Bullock, Stevens and Gonzales",3916835.89,Department of Health and Human Services,2024-03-26,Fixed-Price Contract,USA,FL
TRX06779,"Robertson, Henderson and Sanchez",3408023.74,Department of Health and Human Services,2023-07-07,Cost-Reimbursement Contract,USA,OH
TRX06780,Delgado Inc,1166064.45,Department of Health and Human Services,2021-03-08,Indefinite Delivery Contract,CAN,MI
TRX06781,Boyd PLC,4934860.83,Department of Defense,2023-11-19,Time-and-Materials Contract,CAN,FL
TRX06782,Swanson Ltd,1936428.99,Department of Health and Human Services,2022-08-06,Fixed-Price Contract,MEX,PA
TRX06783,Harrison-Murphy,3863986.09,Department of Energy,2024-01-06,Time-and-Materials Contract,CAN,FL
TRX06784,"Davidson, Barnett and Miller",1713258.89,Department of Education,2023-12-20,Fixed-Price Contract,CAN,CA
TRX06785,"Adkins, Walters and Romero",436453.53,Department of Education,2023-03-10,Fixed-Price Contract,USA,OH
TRX06786,Parker PLC,712480.14,Department of Defense,2022-06-27,Time-and-Materials Contract,USA,GA
TRX06787,"Carter, Burgess and Walker",537807.13,Department of Agriculture,2023-06-24,Indefinite Delivery Contract,USA,PA
TRX06788,"Hunt, Hoffman and Patton",3594469.24,Department of Agriculture,2022-06-10,Fixed-Price Contract,MEX,PA
TRX06789,Robles and Sons,3500351.21,Department of Energy,2023-06-21,Indefinite Delivery Contract,MEX,FL
TRX06790,Bullock LLC,4491107.44,Department of Transportation,2023-04-03,Indefinite Delivery Contract,USA,GA
TRX06791,Key Ltd,3229151.79,Department of Agriculture,2021-10-20,Time-and-Materials Contract,CAN,CA
TRX06792,"Morales, Decker and Snyder",3448269.55,Department of Agriculture,2022-01-22,Cost-Reimbursement Contract,CAN,VA
TRX06793,Diaz-Hudson,1424241.91,Department of Education,2022-03-01,Indefinite Delivery Contract,MEX,GA
TRX06794,Long-Moore,1709191.69,Department of Agriculture,2021-06-09,Cost-Reimbursement Contract,CAN,NY
TRX06795,Sellers-Lamb,3483394.8,Department of Education,2022-05-02,Time-and-Materials Contract,MEX,CA
TRX06796,Phillips-Johnson,1327859.75,Department of Defense,2022-03-02,Indefinite Delivery Contract,CAN,CA
TRX06797,"Wilson, Daniels and Banks",2410980.23,Department of Agriculture,2022-04-28,Time-and-Materials Contract,USA,PA
TRX06798,"Frey, Odonnell and Kaiser",1645485.48,Department of Agriculture,2023-02-05,Time-and-Materials Contract,CAN,GA
TRX06799,"Cox, Reed and Evans",4161208.48,NASA,2023-10-09,Cost-Reimbursement Contract,USA,TX
TRX06800,"Booth, Weber and Jenkins",2653723.34,Department of Transportation,2021-03-23,Cost-Reimbursement Contract,CAN,TX
TRX06801,Obrien Ltd,689896.06,Department of Health and Human Services,2022-03-04,Time-and-Materials Contract,USA,CA
TRX06802,"Perez, Smith and Brown",4174345.46,Department of Agriculture,2021-09-18,Fixed-Price Contract,CAN,NY
TRX06803,James-Andrews,3423628.46,Department of Education,2023-10-30,Cost-Reimbursement Contract,USA,PA
TRX06804,Hampton-Martin,4993510.31,NASA,2021-09-13,Fixed-Price Contract,MEX,CA
TRX06805,"Mercado, Clark and Tucker",3779182.1,Department of Education,2023-06-11,Fixed-Price Contract,CAN,NY
TRX06806,"Haney, Smith and Nunez",2226860.55,Department of Agriculture,2021-08-19,Indefinite Delivery Contract,USA,PA
TRX06807,"Hill, Davis and Moore",4672375.26,Department of Health and Human Services,2022-11-18,Cost-Reimbursement Contract,CAN,NY
TRX06808,Parks-Allen,4049039.34,Department of Transportation,2023-10-22,Indefinite Delivery Contract,MEX,OH
TRX06809,"Carter, Villa and Gonzalez",3575575.07,Department of Defense,2021-05-01,Indefinite Delivery Contract,CAN,MI
TRX06810,Smith-Smith,591134.22,Department of Health and Human Services,2023-08-09,Indefinite Delivery Contract,MEX,MI
TRX06811,"Sims, Bailey and Gibson",1997257.42,Department of Health and Human Services,2024-02-06,Indefinite Delivery Contract,MEX,TX
TRX06812,Cooper LLC,1351805.33,NASA,2022-04-13,Indefinite Delivery Contract,MEX,CA
TRX06813,Mitchell-Walters,2866675.25,Department of Health and Human Services,2023-06-16,Time-and-Materials Contract,MEX,GA
TRX06814,Hamilton-Robinson,4060742.04,Department of Defense,2024-02-23,Indefinite Delivery Contract,CAN,NC
TRX06815,Allen Ltd,2235864.9,NASA,2022-02-02,Cost-Reimbursement Contract,MEX,FL
TRX06816,Miller Group,1624704.49,NASA,2023-05-22,Fixed-Price Contract,CAN,MI
TRX06817,Smith-Sanchez,1707038.84,Department of Education,2022-02-06,Fixed-Price Contract,MEX,NC
TRX06818,Hampton-Le,3213569.59,Department of Education,2021-02-21,Indefinite Delivery Contract,USA,TX
TRX06819,"Donaldson, Garcia and Huang",4055465.29,Department of Defense,2022-03-19,Time-and-Materials Contract,USA,NC
TRX06820,Boyd-English,4898362.5,Department of Health and Human Services,2022-01-12,Indefinite Delivery Contract,CAN,VA
TRX06821,Davenport-Barnett,3632398.64,NASA,2021-07-02,Indefinite Delivery Contract,MEX,CA
TRX06822,Ewing-Martinez,2157251.25,Department of Transportation,2023-11-06,Fixed-Price Contract,MEX,GA
TRX06823,Johnson Group,2732624.64,Department of Health and Human Services,2022-05-10,Time-and-Materials Contract,MEX,GA
TRX06824,"Curtis, Bradley and Smith",2780697.62,Department of Transportation,2021-03-16,Indefinite Delivery Contract,CAN,VA
TRX06825,Carr LLC,4656783.26,Department of Energy,2021-04-12,Fixed-Price Contract,USA,PA
TRX06826,Wright-Castillo,3133826.29,Department of Agriculture,2023-06-14,Time-and-Materials Contract,CAN,TX
TRX06827,"Allen, Johnson and Williams",1151789.19,Department of Agriculture,2022-06-21,Cost-Reimbursement Contract,USA,NC
TRX06828,Humphrey-Caldwell,2522674.72,Department of Defense,2023-12-12,Time-and-Materials Contract,CAN,GA
TRX06829,"Clark, Thomas and Ward",3708811.89,Department of Health and Human Services,2024-01-18,Time-and-Materials Contract,USA,PA
TRX06830,"Silva, Thomas and Pruitt",2774659.81,Department of Transportation,2023-04-25,Cost-Reimbursement Contract,CAN,PA
TRX06831,Anderson Inc,1361168.26,Department of Transportation,2021-03-12,Indefinite Delivery Contract,CAN,GA
TRX06832,"House, Castro and Brooks",2064359.05,Department of Education,2022-10-01,Indefinite Delivery Contract,MEX,TX
TRX06833,Williams LLC,419546.36,NASA,2022-08-16,Time-and-Materials Contract,USA,GA
TRX06834,Gates Ltd,3972797.98,Department of Education,2022-07-04,Indefinite Delivery Contract,USA,CA
TRX06835,Griffin-Stout,3553408.01,Department of Health and Human Services,2023-12-04,Fixed-Price Contract,USA,VA
TRX06836,"Carter, Powell and Hall",3550091.82,Department of Agriculture,2023-07-14,Indefinite Delivery Contract,MEX,GA
TRX06837,Wright Inc,1058003.15,NASA,2021-10-27,Time-and-Materials Contract,CAN,PA
TRX06838,"White, Berry and Shaw",2409141.74,Department of Defense,2021-02-20,Cost-Reimbursement Contract,CAN,VA
TRX06839,Michael-May,788476.67,Department of Transportation,2023-08-08,Cost-Reimbursement Contract,CAN,PA
TRX06840,Davis-Solomon,2989200.86,Department of Energy,2021-06-22,Fixed-Price Contract,CAN,MI
TRX06841,Cruz LLC,4691510.72,Department of Education,2022-11-06,Time-and-Materials Contract,USA,NY
TRX06842,"Berg, Lara and Thomas",3243470.92,Department of Defense,2022-02-11,Cost-Reimbursement Contract,MEX,CA
TRX06843,"Kennedy, Castillo and May",4239854.61,NASA,2024-01-23,Time-and-Materials Contract,MEX,VA
TRX06844,Pace-King,4524570.73,Department of Transportation,2023-11-25,Fixed-Price Contract,USA,MI
TRX06845,"White, Conner and Woods",2182661.71,Department of Transportation,2023-11-29,Indefinite Delivery Contract,CAN,NC
TRX06846,Harvey Group,1992769.74,Department of Defense,2021-05-19,Fixed-Price Contract,CAN,PA
TRX06847,Mclean-Keller,996071.27,Department of Transportation,2022-02-25,Time-and-Materials Contract,USA,OH
TRX06848,Lee-Jones,3522346.16,Department of Transportation,2023-06-30,Fixed-Price Contract,MEX,OH
TRX06849,"Jarvis, Marquez and Mann",1957010.37,Department of Agriculture,2021-09-27,Time-and-Materials Contract,CAN,NY
TRX06850,Grant Group,3709974.44,Department of Energy,2021-03-14,Cost-Reimbursement Contract,CAN,GA
TRX06851,Williams Inc,1143821.52,Department of Agriculture,2023-05-05,Fixed-Price Contract,CAN,FL
TRX06852,"Williams, Petersen and Kim",1674416.89,Department of Defense,2022-04-11,Time-and-Materials Contract,USA,CA
TRX06853,Avery-Luna,1596466.24,Department of Energy,2023-06-05,Fixed-Price Contract,USA,NC
TRX06854,"Gomez, Hines and Lane",1534637.24,Department of Defense,2023-01-08,Cost-Reimbursement Contract,CAN,NC
TRX06855,Chan Ltd,2174742.94,Department of Health and Human Services,2021-08-30,Fixed-Price Contract,MEX,MI
TRX06856,Rivera PLC,2361245.94,Department of Agriculture,2022-06-06,Cost-Reimbursement Contract,CAN,FL
TRX06857,Smith and Sons,2629933.95,Department of Education,2022-07-06,Cost-Reimbursement Contract,USA,NC
TRX06858,Stanton-Duffy,2358173.62,NASA,2021-04-29,Fixed-Price Contract,CAN,CA
TRX06859,Walker-Burnett,4510101.61,Department of Energy,2023-03-21,Fixed-Price Contract,USA,GA
TRX06860,Bennett Inc,3838094.92,NASA,2021-06-28,Indefinite Delivery Contract,MEX,MI
TRX06861,Martinez-Cox,4857716.61,Department of Agriculture,2022-06-25,Time-and-Materials Contract,MEX,GA
TRX06862,Johnson and Sons,3430312.69,Department of Health and Human Services,2021-05-05,Time-and-Materials Contract,CAN,NY
TRX06863,Hayes-Stevens,4718019.52,Department of Defense,2023-03-21,Cost-Reimbursement Contract,CAN,TX
TRX06864,Irwin-Young,587156.75,Department of Health and Human Services,2023-08-02,Cost-Reimbursement Contract,CAN,MI
TRX06865,Graham-Harris,1244458.17,Department of Transportation,2023-10-11,Fixed-Price Contract,MEX,FL
TRX06866,Bond-Wagner,4361485.85,NASA,2021-02-02,Fixed-Price Contract,USA,TX
TRX06867,Ramsey-Hull,3364871.42,Department of Health and Human Services,2024-03-04,Indefinite Delivery Contract,CAN,NY
TRX06868,Huffman-Greer,3544368.8,Department of Transportation,2022-10-23,Cost-Reimbursement Contract,MEX,TX
TRX06869,Hunt PLC,2671751.01,NASA,2023-03-13,Cost-Reimbursement Contract,CAN,PA
TRX06870,Larson Ltd,3211044.38,Department of Transportation,2022-12-06,Time-and-Materials Contract,CAN,FL
TRX06871,"Armstrong, Patel and Jones",3616226.25,Department of Defense,2022-06-20,Cost-Reimbursement Contract,MEX,PA
TRX06872,Bradshaw PLC,762986.16,Department of Transportation,2022-09-16,Indefinite Delivery Contract,MEX,PA
TRX06873,Ward Group,3069123.23,Department of Education,2023-10-02,Fixed-Price Contract,MEX,VA
TRX06874,"Johnson, Navarro and Jackson",3324929.73,Department of Energy,2023-06-26,Fixed-Price Contract,USA,NC
TRX06875,Briggs-Bright,3663718.22,Department of Health and Human Services,2022-07-14,Indefinite Delivery Contract,MEX,VA
